(0,37,40,0,7)
(1,10,6,0,0)
(2,30,31,0,0)
(3,24,25,0,8)
(4,40,39,0,0)
(5,25,28,0,5)
(6,27,29,0,0)
(7,10,9,0,0)
(8,9,6,0,6)
(9,16,12,0,0)
(10,10,13,0,6)
(11,17,16,0,0)
(12,33,35,0,9)
(13,30,27,0,0)
(14,25,28,0,0)
(15,11,8,0,6)
(16,8,10,0,6)
(17,26,28,0,0)
(18,3,5,0,5)
(19,4,7,0,0)
(20,22,24,0,7)
(21,27,25,0,0)
(22,11,9,0,6)
(23,14,13,0,0)
(24,25,22,0,5)
(25,22,24,0,0)
(26,19,21,0,0)
(27,32,28,0,7)
(28,5,1,0,9)
(29,29,25,0,0)
(30,24,22,0,0)
(31,18,20,0,5)
(32,28,30,0,0)
(33,16,17,0,0)
(34,25,27,0,9)
(35,0,2,0,0)
(36,42,41,0,8)
(37,32,33,0,0)
(38,31,33,0,5)
(39,37,35,0,0)
(40,27,30,0,0)
(41,46,47,0,7)
(42,48,49,0,0)
(43,26,29,0,8)
(44,39,36,0,0)
(45,22,23,0,0)
(46,41,39,0,9)
(47,46,42,0,9)
(48,7,8,0,9)
(49,7,9,0,0)
(50,43,45,0,9)
(51,11,12,0,0)
(52,11,12,0,8)
(53,22,23,0,6)
(54,32,35,0,0)
(55,16,12,0,0)
(56,20,16,0,6)
(57,21,23,0,6)
(58,29,32,0,5)
(59,13,15,0,5)
(60,18,14,0,8)
(61,24,20,0,7)
(62,15,11,0,9)
(63,24,25,0,5)
(64,45,43,0,0)
(65,12,8,0,0)
(66,25,22,0,0)
(67,19,16,0,0)
(68,19,22,0,6)
(69,6,2,0,0)
(70,19,17,0,0)
(71,32,28,0,0)
(72,22,23,0,9)
(73,9,5,0,7)
(74,36,34,0,0)
(75,11,10,0,0)
(76,25,21,0,0)
(77,15,12,0,7)
(78,34,32,0,9)
(79,27,24,0,7)
(80,46,47,0,9)
(81,12,11,0,0)
(82,7,9,0,0)
(83,1,3,0,7)
(84,11,8,0,0)
(85,36,34,0,0)
(86,12,8,0,0)
(87,18,14,0,5)
(88,37,38,0,6)
(89,44,40,0,9)
(90,6,9,0,8)
(91,0,3,0,0)
(92,32,28,0,0)
(93,48,49,0,0)
(94,44,47,0,0)
(95,20,17,0,0)
(96,40,43,0,0)
(97,9,6,0,8)
(98,47,44,0,0)
(99,16,19,0,8)
(100,21,24,0,6)
(101,6,5,0,0)
(102,5,1,0,5)
(103,5,1,0,6)
(104,4,5,0,0)
(105,22,23,0,0)
(106,43,39,0,0)
(107,45,42,0,8)
(108,34,32,0,9)
(109,39,37,0,8)
(110,40,42,0,7)
(111,35,38,0,0)
(112,22,18,0,8)
(113,14,17,0,8)
(114,9,7,0,0)
(115,49,47,0,0)
(116,32,29,0,0)
(117,5,2,0,0)
(118,7,5,0,6)
(119,19,16,0,0)
(120,47,46,0,9)
(121,7,9,0,0)
(122,5,1,0,0)
(123,13,11,0,0)
(124,22,23,0,6)
(125,32,30,0,0)
(126,11,10,0,5)
(127,4,1,0,0)
(128,19,17,0,0)
(129,36,39,0,0)
(130,25,27,0,0)
(131,37,38,0,7)
(132,44,40,0,0)
(133,31,27,0,0)
(134,13,11,0,5)
(135,24,26,0,0)
(136,38,36,0,0)
(137,44,43,0,6)
(138,43,46,0,0)
(139,7,9,0,8)
(140,26,29,0,0)
(141,6,9,0,0)
(142,23,26,0,0)
(143,10,12,0,8)
